"","섹터","종목코드","종목명"
"331","산업재","004360","세방"
"332","산업재","067390","아스트"
"333","산업재","003580","넥스트사이언스"
"334","산업재","004960","한신공영"
"335","산업재","033500","동성화인텍"
"336","산업재","018000","유니슨"
"337","산업재","064510","에코마이스터"
"338","산업재","045100","한양이엔지"
"339","산업재","091810","티웨이항공"
"340","산업재","097230","한진중공업"
"341","산업재","006390","한일현대시멘트"
"342","산업재","001440","대한전선"
"343","산업재","013580","계룡건설"
"344","산업재","016880","웅진"
"345","산업재","007820","에스엠코어"
"346","산업재","036190","금화피에스시"
"347","산업재","028100","동아지질"
"348","산업재","016800","퍼시스"
"349","산업재","126870","뉴로스"
"350","산업재","007110","일신석재"
"351","산업재","000390","삼화페인트"
"352","산업재","016250","이테크건설"
"353","산업재","003300","한일홀딩스"
"354","산업재","002460","화성산업"
"355","산업재","007210","벽산"
"356","산업재","001250","GS글로벌"
"357","산업재","143240","사람인에이치알"
"358","산업재","082740","HSD엔진"
"359","산업재","210540","디와이파워"
"360","산업재","044490","태웅"
"361","산업재","085310","엔케이"
"362","산업재","006910","보성파워텍"
"363","산업재","109610","에스와이패널"
"364","산업재","002900","동양물산"
"365","산업재","060310","3S"
"366","산업재","036890","진성티이씨"
"367","산업재","033100","제룡전기"
"368","산업재","014790","한라"
"369","산업재","025750","한솔홈데코"
"370","산업재","011390","부산산업"
"371","산업재","001470","삼부토건"
"372","산업재","005870","휴니드"
"373","산업재","014200","광림"
"374","산업재","044450","KSS해운"
"375","산업재","046120","오르비텍"
"376","산업재","000700","유수홀딩스"
"377","산업재","010960","삼호개발"
"378","산업재","000860","강남제비스코"
"379","산업재","013570","디와이"
"380","산업재","017040","광명전기"
"381","산업재","100130","동국S&C"
"382","산업재","072520","제넨바이오"
"383","산업재","090350","노루페인트"
"384","산업재","089140","넥스턴"
"385","산업재","054180","중앙오션"
"386","산업재","020710","시공테크"
"387","산업재","000490","대동공업"
"388","산업재","001840","이화공영"
"389","산업재","058730","다스코"
"390","산업재","058850","KTcs"
"391","산업재","010820","퍼스텍"
"392","산업재","083660","CSA 코스믹"
"393","산업재","004870","티웨이홀딩스"
"394","산업재","006340","대원전선"
"395","산업재","100090","삼강엠앤티"
"396","산업재","126880","제이엔케이히터"
"397","산업재","195990","유지인트"
"398","산업재","053690","한미글로벌"
"399","산업재","214430","아이쓰리시스템"
"400","산업재","017510","세명전기"
"401","산업재","255220","SG"
"402","산업재","009070","KCTC"
"403","산업재","099320","쎄트렉아이"
"404","산업재","102210","해덕파워웨이"
"405","산업재","090710","디에스티로봇"
"406","산업재","004380","삼익THK"
"407","산업재","037370","EG"
"408","산업재","052300","W홀딩컴퍼니"
"409","산업재","039570","HDC아이콘트롤스"
"410","산업재","008250","이건산업"
"411","산업재","039610","화성밸브"
"412","산업재","025900","동화기업"
"413","산업재","099440","스맥"
"414","산업재","036560","영풍정밀"
"415","산업재","058860","케이티스"
"416","산업재","018310","삼목에스폼"
"417","산업재","036000","예림당"
"418","산업재","026150","특수건설"
"419","산업재","042940","상지카일룸"
"420","산업재","001880","삼호"
"421","산업재","015860","일진홀딩스"
"422","산업재","089230","THE E&M"
"423","산업재","043910","자연과환경"
"424","산업재","034300","신세계건설"
"425","산업재","091590","남화토건"
"426","산업재","229640","LS전선아시아"
"427","산업재","014280","금강공업"
