"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"238",2018-12-28,"036120","SCI평가정보","-",2000,"-","-","383","5.22",0,0,238,NA
"239",2018-12-28,"036170","씨티젠","-",2550,"-","-","2,625","0.97",0,0,239,NA
"240",2018-12-28,"036180","영인프런티어","-",5940,"243","24.44","1,469","4.04",0,0,240,NA
"241",2018-12-28,"036190","금화피에스시","-",29650,"3,369","8.8","30,651","0.97",900,3.04,241,NA
"242",2018-12-28,"036200","유니셈","-",3235,"799","4.05","2,906","1.11",60,1.85,242,NA
"243",2018-12-28,"036260","이매진아시아","-",2100,"-","-","1,030","2.04",0,0,243,NA
"244",2018-12-28,"036420","제이콘텐트리","-",4460,"54","82.59","1,321","3.38",0,0,244,NA
"245",2018-12-28,"036480","대성미생물","-",17600,"410","42.93","7,979","2.21",85,0.48,245,NA
"246",2018-12-28,"036490","SK머티리얼즈","-",151000,"10,124","14.92","36,567","4.13",3550,2.35,246,NA
"247",2018-12-28,"036540","SFA반도체","-",1360,"68","20","1,773","0.77",0,0,247,NA
"248",2018-12-28,"036560","영풍정밀","-",7810,"581","13.44","19,788","0.39",200,2.56,248,NA
"249",2018-12-28,"036620","버추얼텍","-",620,"-","-","331","1.87",0,0,249,NA
"250",2018-12-28,"036630","세종텔레콤","-",472,"7","67.43","552","0.86",0,0,250,NA
"251",2018-12-28,"036640","HRS","-",2830,"384","7.37","4,918","0.58",80,2.83,251,NA
"252",2018-12-28,"036670","KCI","-",7780,"370","21.03","4,346","1.79",180,2.31,252,NA
"253",2018-12-28,"036690","코맥스","-",4130,"510","8.1","4,363","0.95",50,1.21,253,NA
"254",2018-12-28,"036710","심텍홀딩스","-",1785,"41","43.54","3,270","0.55",20,1.12,254,NA
"255",2018-12-28,"036800","나이스정보통신","-",19650,"3,849","5.11","17,971","1.09",350,1.78,255,NA
