"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","market"
"2075","064090","에프앤리퍼블릭","1,870","5","+0.27%","500","1,118","59,763",1.27,"199,740","9.26","29.66","코스닥"
"2076","048910","대원미디어","8,880","60","+0.68%","500","1,117","12,579",6.04,"41,739","17.9","10.25","코스닥"
"2077","049520","유아이엘","5,110","115","+2.30%","500","1,113","21,785",9.14,"74,023","7.46","8.79","코스닥"
"2078","217620","디딤","3,000","20","+0.67%","100","1,110","37,002",16.8,"75,470","8.98","10.73","코스닥"
"2079","040420","정상제이엘에스","7,070","30","+0.43%","500","1,108","15,678",1.7,"9,498","13.47","13.05","코스닥"
"2080","114810","아이원스","8,250","30","-0.36%","500","1,107","13,416",5.61,"41,072","22.66","3.87","코스닥"
"2081","036180","영인프런티어","6,280","10","+0.16%","500","1,105","17,600",2.63,"234,029","25.84","18.05","코스닥"
"2082","033170","시그네틱스","1,285","25","-1.91%","500","1,102","85,728",3.44,"1,164,409","67.63","0.98","코스닥"
"2083","217600","켐온","1,725","35","-1.99%","100","1,102","63,861",0.27,"522,242","-69","-5.22","코스닥"
"2084","016790","현대사료","17,900","400","-2.19%","500","1,101","6,150",0.3,"27,089","14.62","12.02","코스닥"
"2086","083310","엘오티베큠","8,250","100","+1.23%","500","1,094","13,258",6.53,"38,303","4.47","26.09","코스닥"
"2087","069920","아이에스이커머스","4,280","40","+0.94%","500","1,092","25,514",0.32,"7,312","3.24","60.93","코스닥"
"2088","259630","엠플러스","21,300","250","-1.16%","500","1,089","5,112",1.39,"27,592","19","22.23","코스닥"
"2089","045520","크린앤사이언스","16,750","350","+2.13%","500","1,089","6,500",2.32,"2,519,482","23.1","16.09","코스닥"
"2090","094940","푸른기술","16,550","350","-2.07%","500","1,088","6,574",1.92,"136,342","127.31","3.70","코스닥"
"2091","046120","오르비텍","4,565","185","-3.89%","500","1,086","23,791",1.63,"887,877","31.7","N/A","코스닥"
"2092","046070","코다코","2,780","5","+0.18%","500","1,086","39,064",3.87,"51,902","-44.84","-2.33","코스닥"
"2093","106190","하이텍팜","15,300","150","-0.97%","500","1,085","7,089",42.74,"10,070","51.69","2.07","코스닥"
"2094","228340","동양파일","5,420","80","-1.45%","500","1,084","20,000",3.62,"85,951","13.16","5.68","코스닥"
"2095","101330","모베이스","4,515","85","-1.85%","500","1,082","23,958",7.06,"25,505","6.82","7.73","코스닥"
"2096","041460","한국전자인증","5,040","185","+3.81%","500","1,082","21,459",0.84,"649,980","31.5","10.60","코스닥"
"2097","061250","화일약품","7,450","230","-2.99%","500","1,074","14,411",4.57,"305,725","40.27","2.69","코스닥"
"2098","220180","핸디소프트","7,090","150","-2.07%","500","1,069","15,080",0.14,"257,258","-12.18","-12.77","코스닥"
"2099","065150","MP그룹","1,315","0","0.00%","100","1,063","80,808",0.44,"0","-8.17","-36.27","코스닥"
"2100","079970","투비소프트","4,355","595","-12.02%","500","1,062","24,376",1.25,"1,326,050","-2.7","-57.97","코스닥"
"2101","016600","큐캐피탈","757","24","+3.27%","500","1,060","139,998",1.59,"1,903,670","8.91","10.98","코스닥"
"2102","080220","제주반도체","3,710","10","-0.27%","500","1,060","28,561",8.3,"82,460","23.33","8.93","코스닥"
"2103","035290","더블유에프엠","4,625","85","+1.87%","500","1,053","22,761",1.05,"67,994","-23.48","-32.30","코스닥"
"2104","065510","휴비츠","8,840","430","+5.11%","500","1,050","11,883",3.75,"278,702","33.74","3.99","코스닥"
"2105","011560","세보엠이씨","9,940","60","-0.60%","500","1,047","10,530",4.89,"34,480","4.43","18.52","코스닥"
"2106","043290","케이맥","14,850","0","0.00%","500","1,045","7,034",2.51,"40,462","-14.18","-12.94","코스닥"
"2107","137400","피엔티","11,700","50","+0.43%","500","1,040","8,892",4.03,"40,893","20.6","7.32","코스닥"
"2108","039610","화성밸브","9,990","110","-1.09%","500","1,040","10,410",2.86,"214,960","58.42","3.04","코스닥"
"2109","035620","바른손이앤에이","1,475","10","-0.67%","500","1,038","70,367",1.74,"191,228","-4.57","-82.89","코스닥"
"2110","054180","중앙오션","4,090","110","-2.62%","500","1,038","25,371",0,"540,031","-51.12","-9.49","코스닥"
"2111","072520","제넨바이오","1,655","205","+14.14%","100","1,035","62,565",0.6,"3,970,578","-4.78","-71.67","코스닥"
"2112","089890","코세스","6,140","70","+1.15%","500","1,035","16,852",1.31,"38,992","9.81","112.67","코스닥"
"2113","049080","기가레인","2,040","20","-0.97%","500","1,028","50,393",1.79,"145,088","-156.92","-0.79","코스닥"
"2114","079940","가비아","7,580","120","-1.56%","500","1,026","13,536",16.32,"63,631","21.29","8.88","코스닥"
"2115","027710","팜스토리","1,160","10","+0.87%","500","1,025","88,347",4.24,"257,814","7.44","9.46","코스닥"
