"","US","EUROPE","JAPAN","EM","LONG_BOND","INT_BOND","US.REIT","GLOBAL.REIT","GOLD","COMMODITY"
"1993-05-04",0.003524055,0,0,-0.005838149,0.004484305,0.006472492,0.002710027,0,0.005221564,-0.00648772
"1993-05-05",0.002810804,0.002136752,0,-0.001957478,0,0,0,0,-0.005334831,0.000316561
"1993-05-06",-0.003501836,-0.004264392,-0.005247,0.003349326,0,0,0,0,0.003528582,0.00222334
"1993-05-07",-0.002111408,0.002141328,0.005981605,0.001563816,-0.004464286,0,-0.002702703,0,0.005625879,-0.001153734
"1993-05-08",0,0,0,0,0,0,0,0,0,0
"1993-05-09",0,0,0,0,0,0,0,0,0,0
"1993-05-10",0.002115875,-0.008547009,-0.001243656,-0.004654096,0.004484305,0,-0.002710027,0,-0.001958042,-0.00158467
"1993-05-11",0.004219163,-0.00862069,-0.001412355,-0.001055839,0,0.003215434,-0.002717391,0,-0.004063901,-0.000957994
"1993-05-12",-0.001400479,0.006521739,-0.017028712,0.000724769,-0.004464286,-0.003205128,0.005449591,0,0.002392008,-0.001730919
"1993-05-13",-0.011922585,-0.002159827,-0.007556756,0.006699258,-0.00896861,-0.003215434,-0.002710027,0,0.030320045,-0.009007432
"1993-05-14",-0.000707839,0.002164502,0.008130897,0.002997602,0,0,-0.002717391,0,0.003269755,-0.004300271
"1993-05-15",0,0,0,0,0,0,0,0,0,0
"1993-05-16",0,0,0,0,0,0,0,0,0,0
"1993-05-17",0.003549082,0.002159827,-0.001040932,0.009952182,-0.004524887,-0.003225806,0,0,0.002851711,0.000358872
"1993-05-18",-0.000705836,-0.004310345,-0.017402879,0.00260409,-0.004545455,-0.003236246,-0.002724796,0,-0.003926879,-0.004156478
"1993-05-19",0.020538874,-0.002164502,0.013485414,0.003010537,0.00456621,0.003246753,-0.00273224,0,0.038336052,-0.000505166
"1993-05-20",0.002775685,0.004338395,-0.002022592,0.008739664,0,0,0.002739726,0,-0.021209741,0.008169589
"1993-05-21",-0.008997804,-0.002159827,0.013457202,-0.005367561,-0.004545455,-0.003236246,-0.010928962,0,-0.001471375,0.000698568
"1993-05-22",0,0,0,0,0,0,0,0,0,0
"1993-05-23",0,0,0,0,0,0,0,0,0,0
"1993-05-24",0.004189701,-0.004329004,-0.005305513,-0.000879869,0.00456621,-0.003246753,-0.002762431,0,0.016075017,-0.007128632
