"","Price"
"2021-08-11",9310
"2021-08-12",9240
"2021-08-13",9180
"2021-08-17",8850
"2021-08-18",9040
"2021-08-19",8740
"2021-08-20",8470
"2021-08-23",8680
"2021-08-24",8980
"2021-08-25",8930
"2021-08-26",8810
"2021-08-27",8920
"2021-08-30",8890
"2021-08-31",8900
"2021-09-01",8990
"2021-09-02",8960
"2021-09-03",8990
"2021-09-06",8930
"2021-09-07",8900
"2021-09-08",8890
"2021-09-09",8930
"2021-09-10",8920
"2021-09-13",9000
"2021-09-14",8980
"2021-09-15",8900
"2021-09-16",8920
"2021-09-17",8850
"2021-09-23",8850
"2021-09-24",8860
"2021-09-27",8850
"2021-09-28",8710
"2021-09-29",8580
"2021-09-30",8620
"2021-10-01",8660
"2021-10-05",8520
"2021-10-06",8270
"2021-10-07",8330
"2021-10-08",8300
"2021-10-12",8160
"2021-10-13",8190
"2021-10-14",8190
"2021-10-15",8340
"2021-10-18",8410
"2021-10-19",8430
"2021-10-20",8420
"2021-10-21",8590
"2021-10-22",8480
"2021-10-25",8420
"2021-10-26",8450
"2021-10-27",8450
"2021-10-28",8370
"2021-10-29",8310
"2021-11-01",8350
"2021-11-02",8350
"2021-11-03",8240
"2021-11-04",8300
"2021-11-05",8240
