"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2098","331380","포커스에이치엔에스",3300,-30,-0.9,NA,NA,NA,NA,0,0
"2099","141020","포티스",108,0,0,NA,NA,409,0.26,0,0
"2100","041020","폴라리스오피스",2870,20,0.7,NA,NA,883,3.25,0,0
"2101","114630","폴라리스우노",5140,50,0.98,141,36.45,5537,0.93,100,1.95
"2102","123010","폴라리스웍스",1790,5,0.28,NA,NA,508,3.52,0,0
"2103","007630","폴루스바이오팜",1225,0,0,NA,NA,1413,0.87,0,0
"2104","290720","푸드나무",40400,-100,-0.25,935,43.21,8267,4.89,300,0.74
"2105","005670","푸드웰",7630,-130,-1.68,423,18.04,8013,0.95,85,1.11
"2106","094940","푸른기술",11300,-250,-2.16,128,88.28,3547,3.19,0,0
"2107","007330","푸른저축은행",13900,-150,-1.07,1824,7.62,18411,0.75,550,3.96
"2108","017810","풀무원",16900,-450,-2.59,399,42.36,10677,1.58,102,0.6
"2109","093380","풍강",4960,20,0.4,16,310,6155,0.81,30,0.6
"2110","023900","풍국주정",17300,-200,-1.14,651,26.57,11172,1.55,180,1.04
"2111","103140","풍산",33250,-450,-1.34,2567,12.95,51539,0.65,600,1.8
"2112","005810","풍산홀딩스",28200,-150,-0.53,1454,19.39,63127,0.45,1200,4.26
"2113","220100","퓨쳐켐",19250,2150,12.57,NA,NA,3340,5.76,0,0
"2114","035200","프럼파스트",7300,-70,-0.95,171,42.69,3601,2.03,50,0.68
"2115","334970","프레스티지바이오로직스",11050,100,0.91,NA,NA,NA,NA,0,0
"2116","203690","프로스테믹스",2860,-60,-2.05,NA,NA,469,6.1,0,0
"2117","321260","프로이천",2775,-30,-1.07,NA,NA,NA,NA,0,0
"2118","053610","프로텍",26100,-400,-1.51,1154,22.62,18741,1.39,300,1.15
"2119","377220","프롬바이오",14500,50,0.35,NA,NA,1991,7.28,0,0
"2120","335810","프리시젼바이오",12000,-350,-2.83,NA,NA,3310,3.63,0,0
"2121","053160","프리엠스",15650,-500,-3.1,23,680.43,8118,1.93,50,0.32
"2122","367000","플래티어",19900,-500,-2.45,697,28.55,1314,15.14,0,0
"2123","075130","플랜티넷",12200,400,3.39,131,93.13,7259,1.68,200,1.64
"2124","237820","플레이디",7520,-250,-3.22,123,61.14,5491,1.37,0,0
"2125","023770","플레이위드",11000,-450,-3.93,1552,7.09,3798,2.9,300,2.73
"2126","300080","플리토",25800,650,2.58,NA,NA,3776,6.83,0,0
"2127","032580","피델릭스",1350,0,0,NA,NA,1138,1.19,0,0
"2128","051380","피씨디렉트",13700,-900,-6.16,793,17.28,5401,2.54,150,1.09
