"","code","name","stock"
"31718","00267669","솔빛미디어","044440"
"31742","00693800","에프지엔개발전문자기관리부동산투자회사","119250"
"31755","00991012","판타지오","187770"
"31799","00164469","현대하이스코","010520"
"31835","00586652","거북선1호선박투자회사","092970"
"31846","00132105","삼양제넥스","003940"
"31883","00345657","코아에스앤아이","052350"
"31969","00810531","자원메디칼","181980"
"31981","00127370","삼우이엠씨","026250"
"31997","00261124","어울림정보기술","038320"
"32079","00244729","티브로드도봉강북방송","035210"
"32223","00291152","대한바이오링크","041500"
"32255","00138127","티이씨앤코","008900"
"32370","00156521","화인자산관리","010460"
"32457","00446831","세실","084450"
"32612","00127024","삼양엔텍","008720"
"32688","00120377","로케트전기","000420"
"32705","00136970","신일건업","014350"
"32940","00148328","제일모직","001300"
"32953","00842479","퓨얼셀파워","139170"
"32994","00907660","아루히","950100"
"33100","00351269","지티앤티","053870"
"33142","00350251","모아에스앤에스","052880"
"33151","00206127","어울림엘시스","033280"
"33397","00846396","이코리아자기관리부동산투자회사","138440"
"33421","00144155","SK","003600"
"33474","00678281","에이치앤아이","103650"
"33499","00314888","디에스","051710"
"33561","00653990","유니드코리아","110500"
"33610","00451116","아이레보","072430"
"33656","00159926","포스코티엠씨","010150"
"33761","00648688","거북선2호선박투자회사","101380"
"33838","00512550","아시아퍼시픽5호선박투자회사","082240"
"33839","00512532","아시아퍼시픽7호선박투자회사","082260"
"33840","00512541","아시아퍼시픽6호선박투자회사","082250"
"33976","00907013","한국ANKOR유전","152550"
"34033","01047929","에스케이제1호기업인수목적","207930"
"34041","01064315","대우기업인수목적3호","215580"
"34059","01047567","엔에이치에스엘기업인수목적","207720"
"34287","01043871","케이티비기업인수목적1호","204650"
"34297","01065536","미래에셋제3호기업인수목적","215750"
"34322","00636045","넥솔론","110570"
"34330","00632331","디피앤케이","189700"
"34375","00974459","비앤에스미디어","156170"
"34411","00461690","세화피앤씨","085980"
"34452","01111057","에스지에이시스템즈","232290"
"34698","00653112","미래자원엠엘","233190"
"34762","00823687","웨이포트유한공사","900130"
"34763","00318538","아스팩오일","232360"
"34779","00855145","하이골드오션2호선박투자회사","139200"
"34811","01046179","골든브릿지제2호기업인수목적","206660"
"34886","00110495","대성합동지주","005620"
"34904","00722500","중국원양자원유한공사","900050"
"34919","01018167","캐로스","260490"
"34929","00533678","아시아퍼시픽15호선박투자회사","083620"
"34930","01047716","하나머스트3호기업인수목적","208870"
"34957","00686147","신성에프에이","104120"
"35053","00686068","신성이엔지","104110"
"35137","00695464","차이나그레이트","900040"
"35138","00783246","글로벌에스엠","900070"
"35139","00786331","에스앤씨엔진그룹","900080"
"35164","01160512","헝셩그룹","900270"
"35173","00800084","씨케이에이치","900120"
"35222","00163619","한진피앤씨","061460"
"35372","00967778","나이코","192240"
"35838","01038161","대우기업인수목적2호","204440"
"35975","00267960","에스에스컴텍","036500"
"36116","00529310","동북아10호선박투자회사","083350"
"36293","01080410","골든브릿지제3호기업인수목적","219580"
"36370","00413824","제이앤유글로벌","086200"
"36414","01090301","케이비제8호기업인수목적","222390"
"36687","00626710","베트남개발1","096300"
"36781","01010572","패션플랫폼","256090"
"36970","01075047","키움제3호기업인수목적","218710"
"36984","00612115","유디피","091270"
"37089","01089828","유진기업인수목적3호","221200"
"37096","00647883","하나니켈1호","099340"
"37097","00647935","하나니켈2호","099350"
"37107","00799070","이스트아시아홀딩스","900110"
"37120","01087079","한화에이스기업인수목적2호","219860"
"37130","01072660","엔에이치기업인수목적7호","217810"
"37174","01091391","교보5호기업인수목적","223040"
"37175","01089961","케이비드림투게더제3호기업인수목적","221950"
"37240","01089387","유안타제2호기업인수목적","219960"
"37299","01111765","에스엠로보틱스","252940"
"37377","01115257","시냅스엠","246830"
"37887","01165739","잉글우드랩","950140"
"37998","01236286","컬러레이","900310"
"38149","00408336","인산가","062580"
"38370","01109186","동부제4호기업인수목적","230490"
"38433","01095892","태경피엔에스","235090"
"38485","00130949","카카오엠","016170"
"38499","00202778","썬코어","051170"
"38503","01090921","케이엠제약","237720"
"38504","01102800","키움제4호기업인수목적","226850"
"38605","00148717","도레이케미칼","008000"
"38643","00959265","디와이엘엔제이","207230"
"38674","00447478","엔에스브이","095300"
"38706","00163789","심팩메탈","090730"
"38735","00838421","씨제이이앤엠","130960"
"38775","01094565","이베스트기업인수목적3호","225440"
"38803","00842327","완리인터내셔널홀딩스","900180"
"38889","00156044","하림홀딩스","024660"
"39042","00109170","대덕GDS","004130"
"39123","00207223","위너지스","026260"
"39129","00454265","스틸플라워","087220"
"39378","01170962","GRT","900290"
"39392","00348177","트레이스","052290"
"39759","01111020","케이비제9호기업인수목적","232270"
"39760","01117103","하이에이아이1호기업인수목적","235010"
"39780","00171636","한솔홀딩스","004150"
"39968","00264644","넥스콘테크놀러지","038990"
"40091","00334244","덴소코리아","047060"
"40524","00535719","프렉코","082220"
"40588","00790121","차이나하오란리사이클링유한공사","900090"
"41021","00960641","한국패러랠","168490"
"41164","00569992","원익테라세미콘","123100"
