"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"219","003580","넥스트사이언스","KOSPI","광업",18450,-750,-3.91,773347192650
"220","251270","넷마블","KOSPI","서비스업",125500,-1000,-0.79,10787164501000
"221","090350","노루페인트","KOSPI","화학",10100,-300,-2.88,2.02e+11
"222","090355","노루페인트우","KOSPI","화학",24650,1450,6.25,11416055900
"223","000320","노루홀딩스","KOSPI","기타금융",12350,-100,-0.8,164145714850
"224","000325","노루홀딩스우","KOSPI","기타금융",49000,-500,-1.01,9077250000
"225","006280","녹십자","KOSPI","의약품",261500,-6500,-2.43,3056029687000
"226","005250","녹십자홀딩스","KOSPI","서비스업",29650,-300,-1,1394386426500
"227","005257","녹십자홀딩스2우","KOSPI","서비스업",66700,-1800,-2.63,56427533000
"228","004370","농심","KOSPI","음식료품",282000,-2000,-0.7,1715305044000
"229","072710","농심홀딩스","KOSPI","기타금융",77600,-400,-0.51,359892504000
"230","058730","다스코","KOSPI","기계",5180,-40,-0.77,87420585980
"231","023590","다우기술","KOSPI","서비스업",23700,150,0.64,1063338822900
"232","145210","다이나믹디자인","KOSPI","기계",492,3,0.61,77878309032
"233","019680","대교","KOSPI","서비스업",4250,-85,-1.96,359987112500
"234","019685","대교우B","KOSPI","서비스업",3200,-65,-1.99,62166368000
"235","006370","대구백화점","KOSPI","유통업",10750,0,0,116332318250
"236","008060","대덕","KOSPI","기타금융",7530,0,0,255192829500
"237","00806K","대덕1우","KOSPI","기타금융",10850,50,0.46,13154073450
"238","353200","대덕전자","KOSPI","전기전자",17450,-100,-0.57,862325341250
"239","35320K","대덕전자1우","KOSPI","전기전자",13250,-400,-2.93,27765626750
"240","000490","대동","KOSPI","기계",10450,350,3.47,247959794500
"241","008110","대동전자","KOSPI","전기전자",7740,-110,-1.4,81196059780
"242","005750","대림B&Co","KOSPI","비금속광물",7020,-120,-1.68,117039124800
"243","006570","대림통상","KOSPI","기계",3725,-30,-0.8,56713125000
"244","001680","대상","KOSPI","음식료품",23950,-300,-1.24,829820198750
"245","001685","대상우","KOSPI","음식료품",18200,0,0,24938058600
"246","084690","대상홀딩스","KOSPI","기타금융",9920,-180,-1.78,359228376960
"247","084695","대상홀딩스우","KOSPI","기타금융",11700,-300,-2.5,10687739400
"248","128820","대성산업","KOSPI","유통업",5020,-130,-2.52,227082099560
"249","117580","대성에너지","KOSPI","전기가스업",8940,-500,-5.3,2.4585e+11
"250","016710","대성홀딩스","KOSPI","서비스업",44200,250,0.57,711154087800
"251","003540","대신증권","KOSPI","증권",20300,-450,-2.17,1030700020000
"252","003547","대신증권2우B","KOSPI","증권",18350,-350,-1.87,1.835e+11
"253","003545","대신증권우","KOSPI","증권",18700,-350,-1.84,4.862e+11
"254","009190","대양금속","KOSPI","철강금속",5480,180,3.4,172920205360
"255","014160","대영포장","KOSPI","종이목재",2460,-35,-1.4,266650590540
"256","047040","대우건설","KOSPI","건설업",6110,-130,-2.08,2539454318180
"257","009320","대우부품","KOSPI","운수장비",3205,-85,-2.58,152706631875
"258","042660","대우조선해양","KOSPI","운수장비",24600,-1100,-4.28,2639350457400
"259","003090","대웅","KOSPI","기타금융",33400,350,1.06,1941942132000
"260","069620","대웅제약","KOSPI","의약품",144500,0,0,1674260087500
"261","000430","대원강업","KOSPI","운수장비",4120,-90,-2.14,2.5544e+11
"262","006340","대원전선","KOSPI","전기전자",2040,40,2,144874612680
"263","006345","대원전선우","KOSPI","전기전자",3415,-60,-1.73,8951398000
"264","003220","대원제약","KOSPI","의약품",16900,600,3.68,358699508700
"265","024890","대원화성","KOSPI","화학",5310,-410,-7.17,219032997120
"266","002880","대유에이텍","KOSPI","운수장비",1750,40,2.34,195757759750
"267","000300","대유플러스","KOSPI","전기전자",1525,130,9.32,184523130350
"268","012800","대창","KOSPI","철강금속",2000,-30,-1.48,182280998000
"269","015230","대창단조","KOSPI","운수장비",7560,-90,-1.18,108003029400
"270","001070","대한방직","KOSPI","섬유의복",46000,-50,-0.11,2.438e+11
"271","006650","대한유화","KOSPI","화학",185500,-2500,-1.33,1.20575e+12
"272","001440","대한전선","KOSPI","전기전자",2280,-80,-3.39,1952758460520
"273","084010","대한제강","KOSPI","철강금속",17550,-50,-0.28,432550181700
"274","001790","대한제당","KOSPI","음식료품",3295,0,0,295550231100
"275","001795","대한제당우","KOSPI","음식료품",3450,-5,-0.14,22365522000
"276","001130","대한제분","KOSPI","음식료품",165000,-2000,-1.2,2.7885e+11
"277","003490","대한항공","KOSPI","운수창고업",30200,-600,-1.95,10504188915000
"278","003495","대한항공우","KOSPI","운수창고업",39800,-500,-1.24,44209601200
"279","005880","대한해운","KOSPI","운수창고업",2760,-65,-2.3,880929789600
"280","003830","대한화섬","KOSPI","화학",138500,-1000,-0.72,1.83928e+11
"281","016090","대현","KOSPI","섬유의복",2760,-70,-2.47,122219175600
"282","069460","대호에이엘","KOSPI","철강금속",3945,30,0.77,193295121720
"283","192080","더블유게임즈","KOSPI","서비스업",66300,-1500,-2.21,1218229482600
"284","012510","더존비즈온","KOSPI","서비스업",81800,-1700,-2.04,2485311731200
"285","004830","덕성","KOSPI","화학",24250,750,3.19,3.8024e+11
"286","004835","덕성우","KOSPI","화학",27850,200,0.72,38767200000
"287","024900","덕양산업","KOSPI","운수장비",3770,0,0,122769974600
"288","145720","덴티움","KOSPI","의료정밀",67800,-200,-0.29,750466674000
"289","002150","도화엔지니어링","KOSPI","서비스업",7840,-60,-0.76,264364800000
"290","001230","동국제강","KOSPI","철강금속",17050,-250,-1.45,1627128165850
"291","023450","동남합성","KOSPI","화학",64300,100,0.16,2.32123e+11
"292","004140","동방","KOSPI","운수창고업",4540,475,11.69,181471817640
"293","007590","동방아그로","KOSPI","화학",7400,-10,-0.13,100770069800
"294","005960","동부건설","KOSPI","건설업",14850,-250,-1.66,337566175650
"295","005965","동부건설우","KOSPI","건설업",39700,100,0.25,8961560400
"296","026960","동서","KOSPI","유통업",35100,-100,-0.28,3.49947e+12
"297","002210","동성제약","KOSPI","의약품",8890,-60,-0.67,232037623300
"298","102260","동성케미컬","KOSPI","서비스업",5610,-150,-2.6,278759374080
"299","000640","동아쏘시오홀딩스","KOSPI","기타금융",107500,0,0,682356895000
"300","170900","동아에스티","KOSPI","의약품",74300,300,0.41,627400122100
"301","028100","동아지질","KOSPI","건설업",18000,-400,-2.17,2.07e+11
"302","282690","동아타이어","KOSPI","화학",13050,0,0,179215845750
"303","001520","동양","KOSPI","비금속광물",1680,35,2.13,400989225840
"304","001527","동양2우B","KOSPI","비금속광물",14850,-300,-1.98,4582249650
"305","001529","동양3우B","KOSPI","비금속광물",36700,250,0.69,3292797400
"306","084670","동양고속","KOSPI","운수창고업",21150,0,0,61241284350
"307","082640","동양생명","KOSPI","보험",6700,-130,-1.9,1081102519500
"308","001525","동양우","KOSPI","비금속광물",7680,-30,-0.39,4744174080
"309","008970","동양철관","KOSPI","철강금속",1440,0,0,171194817600
"310","092780","동양피스톤","KOSPI","운수장비",8080,-100,-1.22,106401156800
"311","049770","동원F&B","KOSPI","음식료품",204000,-2000,-0.97,787261296000
